"id","summary_id","participant_key","participant_label","participant_kind","opponent_key","won","side","opponent_side","matchup","total_force_spent","total_force_regen","ending_force","ending_hp","ending_armor","low_force_windows","grip_cripple_events","saber_throw_punishes","knockdown_events","late_defense_spends","opening_tactic","primary_issue","spent_neutral","spent_advantage","spent_disadvantage","spent_panic","spent_finishing","force_push","force_pull","force_grip","force_drain","force_rage","force_absorb","force_protect","force_heal","force_speed","force_seeing","force_unknown"
"486","243","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","0","1","1","1","754","670","100","-10","0","12","0","12","1","0","seeing","low_force","103","0","198","453","0","0","0","0","0","0","0","0","0","0","754","0"
"487","244","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","1","1","842","751","9","70","0","13","0","11","1","0","seeing","low_force","134","0","40","432","236","0","0","0","0","0","0","0","0","0","842","0"
"488","244","user:void","void","1","iphash:7d6be969","0","1","1","1","564","465","100","-22","0","23","0","7","1","0","unknown","low_force","46","0","122","263","133","0","0","0","0","0","0","0","0","0","564","0"
"489","245","user:void","void","1","iphash:7d6be969","1","1","1","1","185","167","82","72","0","11","0","4","0","0","seeing","low_force","53","40","20","50","22","0","0","0","0","0","0","0","0","0","185","0"
"490","245","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","0","1","1","1","323","323","100","-6","0","7","0","2","0","0","seeing","low_force","15","0","107","141","60","0","0","0","0","0","0","0","0","0","323","0"
"491","246","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","1","1","1178","1082","4","100","0","20","0","7","3","0","seeing","low_force","275","31","155","487","230","0","0","0","0","0","0","0","0","0","1178","0"
"492","246","user:void","void","1","iphash:7d6be969","0","1","1","1","856","791","100","-13","0","18","0","8","2","0","seeing","low_force","121","5","300","335","95","0","0","0","0","0","0","0","0","0","856","0"
"493","247","iphash:7d6be969","^0Gòón^2.^6µ^0ps","2","user:void","1","2","2","3","793","733","40","20","0","17","1","3","1","0","seeing","low_force","288","15","152","216","122","0","0","0","0","0","0","0","0","0","793","0"
"494","247","user:void","void","1","iphash:7d6be969","0","2","2","3","733","645","100","-10","0","27","0","5","1","0","seeing","low_force","241","0","165","190","137","0","0","0","0","0","0","0","0","0","733","0"
"495","248","user:void","void","1","iphash:7d6be969","1","2","2","3","1287","1231","44","100","0","54","1","5","2","0","seeing","low_force","402","10","292","428","155","0","0","0","0","0","0","0","0","0","1287","0"
"496","248","iphash:7d6be969","^0Gòón^2.^6µ^0ps","2","user:void","0","2","2","3","1284","1284","100","-22","0","18","0","7","1","0","seeing","low_force","420","44","229","233","358","0","0","0","0","0","0","0","0","0","1284","0"
"497","249","iphash:7d6be969","^0Gòón^2.^6µ^0ps","2","user:void","1","2","2","3","825","735","4","77","0","17","1","8","3","0","seeing","low_force","46","0","173","204","402","0","0","0","0","0","0","0","0","0","825","0"
"498","249","user:void","void","1","iphash:7d6be969","0","2","2","3","855","757","100","-4","0","46","1","4","2","0","seeing","low_force","180","0","218","417","40","0","0","0","0","0","0","0","0","0","855","0"
"499","250","iphash:7d6be969","^0Gòón^2.^6µ^0ps","2","user:void","1","2","2","3","384","328","44","70","0","0","1","7","0","0","seeing","saber_throw","83","0","142","0","159","0","0","0","0","0","0","0","0","0","384","0"
"500","250","user:void","void","1","iphash:7d6be969","0","2","2","3","385","385","100","-4","0","17","0","4","0","0","seeing","low_force","76","0","148","161","0","0","0","0","0","0","0","0","0","0","385","0"
"501","251","iphash:7d6be969","^0Gòón^2.^6µ^0ps","2","user:void","1","2","2","3","82","82","100","100","98","0","0","0","0","0","seeing","linear_entries","80","0","2","0","0","0","0","0","0","0","0","0","0","0","82","0"
"502","251","user:void","void","1","iphash:7d6be969","0","2","2","3","202","202","100","-39","0","0","0","0","0","0","seeing","linear_entries","0","0","202","0","0","0","0","0","0","0","0","0","0","0","202","0"
"503","252","user:void","void","1","user:goon","1","2","2","3","733","690","57","100","9","22","0","4","1","0","seeing","low_force","237","45","99","173","179","0","0","0","0","0","0","0","0","0","733","0"
"504","252","user:goon","goon","1","user:void","0","2","2","3","658","658","100","-3","0","27","1","4","3","0","seeing","low_force","28","0","362","233","35","0","0","0","0","0","0","0","0","0","658","0"
"505","253","user:void","void","1","user:goon","1","2","2","3","810","710","0","80","0","33","1","6","1","0","seeing","low_force","212","15","220","319","44","0","0","0","0","0","0","0","0","0","810","0"
